g19user_story_1021_AND_user_story_1036@0@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1056@1@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1057@2@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1059@3@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1060@4@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1061@5@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1062@6@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1063@7@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1064@8@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1065@9@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1066@10@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1073@11@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1074@12@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1081@13@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1082@14@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1087@15@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1088@16@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1089@17@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1090@18@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1091@19@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1092@20@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1093@21@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@True@False@False@True
g19user_story_1021_AND_user_story_1095@22@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@True@False@False@True
