g22user_story_1228_AND_user_story_1284@0@g22@1228@As a data manager, I want to #know# #how# the data is used, so that I can develop more detailed usage and support scenarios with researchers.@1284@As an IT staff member, I want to #know# #how# the data is used, so that I can determine what kind of basic services and functionalities are required.@2@1@1@True@False@False@True
g22user_story_1232_AND_user_story_1294@1@g22@1232@As an IT staff member, I want to #know# the #security requirements# of the data, so that I #know# which kind of security measures to apply.@1294@As a data manager, I want to #know# the #security requirements# of the data, so that I can check whether the data can be kept secure.@2@2@0@True@False@False@True
g22user_story_1232_AND_user_story_1296@2@g22@1232@As an IT staff member, I want to #know# the #security requirements# of the data, so that I #know# which kind of security measures to apply.@1296@As an institutional data manager, I want to #know# about the privacy and #security requirements# of the data, so that I can plan the right storage system and sharing permissions.@2@2@0@True@False@False@True
g22user_story_1235_AND_user_story_1246@3@g22@1235@As a data manager, I want to #know# what the #content# of the data is, so that I can decide to which collection or repository the data fits.@1246@As a data manager, I want to #know# what the #content# of the data is, so that I can check whether the necessary expertise for maintaining intellectual reusability is available.@3@3@0@False@True@False@True
g22user_story_1240_AND_user_story_1279@4@g22@1240@As an administrator, I want to #know# #who# funded the project and their requirements, so that I can track the funder specific obligations.@1279@As a PI, I want to #know# #who# owns the data, so that I #know# what I am allowed to do with it.@1@1@0@True@False@False@True
g22user_story_1242_AND_user_story_1243@5@g22@1242@As a data manager, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@1243@As an IT staff member, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@5@3@2@True@False@False@True
g22user_story_1242_AND_user_story_1282@6@g22@1242@As a data manager, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@1282@As a data manager, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can ensure that the necessary technical resources and technical #know#-how is available.@4@4@0@False@True@False@True
g22user_story_1242_AND_user_story_1283@7@g22@1242@As a data manager, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@1283@As an IT staff member, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can ensure that the necessary technical resources and technical #know#-how is available.@3@3@0@True@False@False@True
g22user_story_1243_AND_user_story_1282@8@g22@1243@As an IT staff member, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@1282@As a data manager, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can ensure that the necessary technical resources and technical #know#-how is available.@3@3@0@True@False@False@True
g22user_story_1243_AND_user_story_1283@9@g22@1243@As an IT staff member, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@1283@As an IT staff member, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can ensure that the necessary technical resources and technical #know#-how is available.@4@4@0@False@True@False@True
