g22user_story_1226_AND_user_story_1254@0@g22@1226@As a researcher, I want to indicate where my data will be stored during the project and where after the project, so that it remains accessible during all stages of the data lifecycle.@1254@As a rector, I want to know how many data will be stored, so that I can plan long term resources.@1@0@1@False@False@True@False
g22user_story_1226_AND_user_story_1290@1@g22@1226@As a researcher, I want to indicate where my data will be stored during the project and where after the project, so that it remains accessible during all stages of the data lifecycle.@1290@As a data manager, I want to know whether the data can be reproduced efficiently, so that I can determine whether and how the data has to be stored.@1@0@1@False@False@True@False
g22user_story_1228_AND_user_story_1284@2@g22@1228@As a data manager, I want to #know# #how# the data is used, so that I can develop more detailed usage and support scenarios with researchers.@1284@As an IT staff member, I want to #know# #how# the data is used, so that I can determine what kind of basic services and functionalities are required.@2@1@1@True@False@True@False
g22user_story_1228_AND_user_story_1287@3@g22@1228@As a data manager, I want to know how the data is used, so that I can develop more detailed usage and support scenarios with researchers.@1287@As an IT staff member, I want to know with which software or technology the data is produced or used, so that I can determine what kind of technical services and functionalities are required.@1@0@1@False@False@True@False
g22user_story_1228_AND_user_story_1291@4@g22@1228@As a data manager, I want to know how the data is used, so that I can develop more detailed usage and support scenarios with researchers.@1291@As a data manager, I want to know with which software or technology the data is produced or used, so that I know what technology or background information might be necessary to (re-)use the data.@1@0@1@False@False@True@False
g22user_story_1232_AND_user_story_1294@5@g22@1232@As an IT staff member, I want to #know# the #security requirements# of the data, so that I #know# which kind of security measures to apply.@1294@As a data manager, I want to #know# the #security requirements# of the data, so that I can check whether the data can be kept secure.@2@2@0@True@False@False@False
g22user_story_1232_AND_user_story_1296@6@g22@1232@As an IT staff member, I want to #know# the #security requirements# of the data, so that I #know# which kind of security measures to apply.@1296@As an institutional data manager, I want to #know# about the privacy and #security requirements# of the data, so that I can plan the right storage system and sharing permissions.@2@2@0@True@False@False@False
g22user_story_1235_AND_user_story_1246@7@g22@1235@As a data manager, I want to #know# what the #content# of the data is, so that I can decide to which collection or repository the data fits.@1246@As a data manager, I want to #know# what the #content# of the data is, so that I can check whether the necessary expertise for maintaining intellectual reusability is available.@3@3@0@False@True@False@False
g22user_story_1240_AND_user_story_1279@8@g22@1240@As an administrator, I want to #know# #who# funded the project and their requirements, so that I can track the funder specific obligations.@1279@As a PI, I want to #know# #who# owns the data, so that I #know# what I am allowed to do with it.@1@1@0@True@False@False@False
g22user_story_1242_AND_user_story_1243@9@g22@1242@As a data manager, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@1243@As an IT staff member, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@5@3@2@True@False@False@True
g22user_story_1242_AND_user_story_1282@10@g22@1242@As a data manager, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@1282@As a data manager, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can ensure that the necessary technical resources and technical #know#-how is available.@4@4@0@False@True@False@False
g22user_story_1242_AND_user_story_1283@11@g22@1242@As a data manager, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@1283@As an IT staff member, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can ensure that the necessary technical resources and technical #know#-how is available.@3@3@0@True@False@False@False
g22user_story_1242_AND_user_story_1284@12@g22@1242@As a data manager, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.@1284@As an IT staff member, I want to know how the data is used, so that I can determine what kind of basic services and functionalities are required.@1@0@1@False@False@True@False
g22user_story_1242_AND_user_story_1286@13@g22@1242@As a data manager, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.@1286@As an IT staff member, I want to know which formats are used, so that I can determine what kind of technical services and functionalities are required.@1@0@1@False@False@True@False
g22user_story_1242_AND_user_story_1287@14@g22@1242@As a data manager, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.@1287@As an IT staff member, I want to know with which software or technology the data is produced or used, so that I can determine what kind of technical services and functionalities are required.@1@0@1@False@False@True@False
g22user_story_1243_AND_user_story_1282@15@g22@1243@As an IT staff member, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@1282@As a data manager, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can ensure that the necessary technical resources and technical #know#-how is available.@3@3@0@True@False@False@False
g22user_story_1243_AND_user_story_1283@16@g22@1243@As an IT staff member, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can determine what basic support services and functionalities are required.@1283@As an IT staff member, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can ensure that the necessary technical resources and technical #know#-how is available.@4@4@0@False@True@False@False
g22user_story_1243_AND_user_story_1284@17@g22@1243@As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.@1284@As an IT staff member, I want to know how the data is used, so that I can determine what kind of basic services and functionalities are required.@1@0@1@False@False@True@False
g22user_story_1243_AND_user_story_1286@18@g22@1243@As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.@1286@As an IT staff member, I want to know which formats are used, so that I can determine what kind of technical services and functionalities are required.@1@0@1@False@False@True@False
g22user_story_1243_AND_user_story_1287@19@g22@1243@As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.@1287@As an IT staff member, I want to know with which software or technology the data is produced or used, so that I can determine what kind of technical services and functionalities are required.@1@0@1@False@False@True@False
g22user_story_1252_AND_user_story_1280@20@g22@1252@As a stakeholder, I want to #have# #references# to the project proposal, so that I can look up further general information.@1280@As a data manager, I want to #have# #references# to documentation of the data and its creation process, so that the data can be re-used and managed.@1@1@0@True@False@False@False
g22user_story_1254_AND_user_story_1259@21@g22@1254@As a rector, I want to #know# #how many# data will be stored, so that I can plan long term resources.@1259@As a researcher, I want to #know# #how many# resources are needed during the project, so that I can calculate costs.@1@1@0@True@False@False@False
g22user_story_1254_AND_user_story_1290@22@g22@1254@As a rector, I want to know how many data will be stored, so that I can plan long term resources.@1290@As a data manager, I want to know whether the data can be reproduced efficiently, so that I can determine whether and how the data has to be stored.@1@0@1@False@False@True@False
